Code,Country,GBD Region,GBD Subregion,WHO region
AFG,Afghanistan,North Africa and Middle East,North Africa and Middle East,EMR
ALB,Albania,"Central Europe, Eastern Europe, and Central Asia",Central Europe,EUR
DZA,Algeria,North Africa and Middle East,North Africa and Middle East,AFR
ASM,American Samoa,"Southeast Asia, East Asia, and Oceania",Oceania,WPR
AND,Andorra,High-income,Western Europe,EUR
AGO,Angola,Sub-Saharan Africa,Central Sub-Saharan Africa,AFR
AIA,Anguilla,Latin America and Caribbean,Caribbean,AMR
ATG,Antigua and Barbuda,Latin America and Caribbean,Caribbean,AMR
ARG,Argentina,High-income,Southern Latin America,AMR
ARM,Armenia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,EUR
ABW,Aruba,Latin America and Caribbean,Caribbean,AMR
AUS,Australia,High-income,Australasia,WPR
AUT,Austria,High-income,Western Europe,EUR
AZE,Azerbaijan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,EUR
BHS,Bahamas,Latin America and Caribbean,Caribbean,AMR
BHR,Bahrain,North Africa and Middle East,North Africa and Middle East,EMR
BGD,Bangladesh,South Asia,South Asia,SEAR
BRB,Barbados,Latin America and Caribbean,Caribbean,AMR
BLR,Belarus,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,EUR
BEL,Belgium,High-income,Western Europe,EUR
BLZ,Belize,Latin America and Caribbean,Caribbean,AMR
BEN,Benin,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
BMU,Bermuda,Latin America and Caribbean,Caribbean,AMR
BTN,Bhutan,South Asia,South Asia,SEAR
BOL,Bolivia (Plurinational State of),Latin America and Caribbean,Andean Latin America,AMR
BES,"Bonaire, Saint Eustatius and Saba",Latin America and Caribbean,Caribbean,AMR
BIH,Bosnia and Herzegovina,"Central Europe, Eastern Europe, and Central Asia",Central Europe,EUR
BWA,Botswana,Sub-Saharan Africa,Southern Sub-Saharan Africa,AFR
BRA,Brazil,Latin America and Caribbean,Tropical Latin America,AMR
VGB,British Virgin Islands,Latin America and Caribbean,Caribbean,AMR
BRN,Brunei Darussalam,High-income,High-income Asia Pacific,WPR
BGR,Bulgaria,"Central Europe, Eastern Europe, and Central Asia",Central Europe,EUR
BFA,Burkina Faso,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
BDI,Burundi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,AFR
CPV,Cabo Verde,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
KHM,Cambodia,"Southeast Asia, East Asia, and Oceania",Southeast Asia,WPR
CMR,Cameroon,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
CAN,Canada,High-income,High-income North America,AMR
CYM,Cayman Islands,Latin America and Caribbean,Caribbean,AMR
CAF,Central African Republic,Sub-Saharan Africa,Central Sub-Saharan Africa,AFR
TCD,Chad,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
CHL,Chile,High-income,Southern Latin America,AMR
CHN,China,"Southeast Asia, East Asia, and Oceania",East Asia,WPR
HKG,"China, Hong Kong SAR","Southeast Asia, East Asia, and Oceania",East Asia,WPR
MAC,"China, Macao SAR","Southeast Asia, East Asia, and Oceania",East Asia,WPR
TWN,"China, Province of Taiwan","Southeast Asia, East Asia, and Oceania",East Asia,None
COL,Colombia,Latin America and Caribbean,Central Latin America,AMR
COM,Comoros,Sub-Saharan Africa,Eastern Sub-Saharan Africa,AFR
COG,Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,AFR
COK,Cook Islands,"Southeast Asia, East Asia, and Oceania",Oceania,WPR
CRI,Costa Rica,Latin America and Caribbean,Central Latin America,AMR
CIV,Côte d'Ivoire,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
HRV,Croatia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,EUR
CUB,Cuba,Latin America and Caribbean,Caribbean,AMR
CUW,Curaçao,Latin America and Caribbean,Caribbean,AMR
CYP,Cyprus,High-income,Western Europe,EUR
CZE,Czechia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,EUR
PRK,Democratic People's Republic of Korea,"Southeast Asia, East Asia, and Oceania",East Asia,SEAR
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,AFR
DNK,Denmark,High-income,Western Europe,EUR
DJI,Djibouti,Sub-Saharan Africa,Eastern Sub-Saharan Africa,EMR
DMA,Dominica,Latin America and Caribbean,Caribbean,AMR
DOM,Dominican Republic,Latin America and Caribbean,Caribbean,AMR
GNQ,E+E28+A1+E3:E26+E3:E4+E3:E240,Sub-Saharan Africa,Central Sub-Saharan Africa,AFR
ECU,Ecuador,Latin America and Caribbean,Andean Latin America,AMR
EGY,Egypt,North Africa and Middle East,North Africa and Middle East,EMR
SLV,El Salvador,Latin America and Caribbean,Central Latin America,AMR
ERI,Eritrea,Sub-Saharan Africa,Eastern Sub-Saharan Africa,AFR
EST,Estonia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,EUR
SWZ,Eswatini,Sub-Saharan Africa,Southern Sub-Saharan Africa,AFR
ETH,Ethiopia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,AFR
FRO,Faroe Islands,High-income,Western Europe,EUR
FJI,Fiji,"Southeast Asia, East Asia, and Oceania",Oceania,WPR
FIN,Finland,High-income,Western Europe,EUR
FRA,France,High-income,Western Europe,EUR
GUF,French Guiana,Latin America and Caribbean,Caribbean,AMR
PYF,French Polynesia,"Southeast Asia, East Asia, and Oceania",Oceania,WPR
GAB,Gabon,Sub-Saharan Africa,Central Sub-Saharan Africa,AFR
GMB,Gambia,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
GEO,Georgia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,EUR
DEU,Germany,High-income,Western Europe,EUR
GHA,Ghana,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
GRC,Greece,High-income,Western Europe,EUR
GRL,Greenland,High-income,High-income North America,EUR
GRD,Grenada,Latin America and Caribbean,Caribbean,AMR
GUM,Guam,"Southeast Asia, East Asia, and Oceania",Oceania,WPR
GTM,Guatemala,Latin America and Caribbean,Central Latin America,AMR
GIN,Guinea,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
GNB,Guinea-Bissau,Sub-Saharan Africa,Western Sub-Saharan Africa,AFR
GUY,Guyana,Latin America and Caribbean,Caribbean,AMR
HTI,Haiti,Latin America and Caribbean,Caribbean,AMR
HND,Honduras,Latin America and Caribbean,Central Latin America,AMR
HUN,Hungary,"Central Europe, Eastern Europe, and Central Asia",Central Europe,EUR
ISL,Iceland,High-income,Western Europe,EUR
IND,India,South Asia,South Asia,SEAR
IDN,Indonesia,"Southeast Asia, East Asia, and Oceania",Southeast Asia,SEAR
IRN,Iran (Islamic Republic of),North Africa and Middle East,North Africa and Middle East,EMR
IRQ,Iraq,North Africa and Middle East,North Africa and Middle East,EMR
IRL,Ireland,High-income,Western Europe,EUR
ISR,Israel,High-income,Western Europe,EUR
ITA,Italy,High-income,Western Europe,EUR
JAM,Jamaica,Latin America and Caribbean,Caribbean,AMR
JPN,Japan,High-income,High-income Asia Pacific,WPR
JEY,Jersey,High-income,Western Europe,EUR
JOR,Jordan,North Africa and Middle East,North Africa and Middle East,EMR
KAZ,Kazakhstan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,EUR
KEN,Kenya,Sub-Saharan Africa,Eastern Sub-Saharan Africa,AFR
KIR,Kiribati,"Southeast Asia, East Asia, and Oceania",Oceania,WPR
KWT,Kuwait,North Africa and Middle East,North Africa and Middle East,EMR
